County,March,April,May,June,July,August,September,Latitude,Longitude
Adams County,23,25,26,94,236,261,209,46.983202,-118.5177593
Asotin County,1,17,1,3,4,30,80,46.1998773,-117.1843266
Benton County,171,377,335,1091,1608,600,456,46.2665231,-119.4844685
Chelan County,19,100,133,127,826,534,141,47.8831813,-120.6345386
Clallam County,9,10,6,17,48,114,32,48.0498087,-123.8346442
Clark County,147,208,198,397,999,735,864,45.7998375,-122.4845414
Columbia County,1,0,0,7,5,1,0,46.299864,-117.9343772
Cowlitz County,18,42,17,132,254,97,137,46.1998345,-122.6845524
Douglas County,8,74,93,92,583,302,38,47.7165297,-119.7344949
Ferry County,1,0,0,0,19,7,3,48.4665565,-118.5344594
Franklin County,51,335,316,1333,1389,590,377,46.5165273,-118.934448
Garfield County,0,0,0,0,3,1,8,46.4498747,-117.5510191
Grant County,84,77,60,380,738,1034,641,47.1498615,-119.4844771
Grays Harbor County,4,8,6,16,68,151,288,47.0831463,-123.8346127
Island County,141,32,10,15,46,28,46,48.1331513,-122.5846041
Jefferson County,26,3,2,7,15,17,2,47.6164807,-123.0846057
King County,3171,3491,1824,2535,5099,3801,2897,47.4664913,-121.8178891
Kitsap County,103,49,11,93,439,340,242,47.6164836,-122.6679217
Kittitas County,11,11,11,11,11,11,11,47.1165124,-120.6845195
Klickitat County,9,8,12,40,41,73,14,45.8665133,-120.7678415
Lewis County,12,16,8,45,120,154,244,46.5831628,-122.4012208
Lincoln County,1,1,0,2,13,15,27,47.5498735,-118.4844318
Mason County,14,13,10,19,119,144,111,47.3498148,-123.1846005
Okanogan County,5,19,30,89,700,231,14,48.5498712,-119.7345105
Pacific County,0,4,5,8,25,18,28,46.5664905,-123.7179352
Pend Oreille County,0,2,1,1,33,18,21,48.533245,-117.2843943
Pierce County,623,886,491,773,2543,1621,1276,47.0331582,-122.1178904
San Juan County,7,7,1,4,9,1,0,48.5664898,-122.9679582
Skagit County,156,189,93,107,288,204,85,48.4665011,-121.7845841
Skamania County,1,2,0,4,47,4,7,46.0​​331699,-121.9011957
Snohomish County,1431,1089,480,662,1536,1078,834,48.0498261,-121.7179007
Spokane County,191,185,260,1018,2413,1364,1857,47.6165594,-117.367709
Stevens County,5,4,2,12,68,39,60,48.433234,-117.8344205
Thurston County,63,50,43,133,356,301,230,46.9164873,-122.8179101
Wahkiakum County,1,1,2,2,0,1,0,46.2831646,-123.4345775
Walla Walla County,8,78,26,78,282,299,158,46.2831925,-118.484424
Whatcom County,180,136,85,249,279,188,271,48.9165138,-121.7845869
Whitman County,11,4,5,21,57,582,697,46.9165542,-117.4843562
Yakima County,257,1112,2613,3910,2222,880,510,46.4665147,-120.6678459
